file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,1,css,946a1d9d,Khanh Phan,2025-10-07,10:04:26,-07:00,2025-10-07T10:04:26-07:00,0,5
style.css,2,css,946a1d9d,Khanh Phan,2025-10-07,10:04:26,-07:00,2025-10-07T10:04:26-07:00,2,74
style.css,3,css,f726fc90,Khanh Phan,2025-10-16,13:35:32,-07:00,2025-10-16T13:35:32-07:00,2,23
style.css,4,css,f726fc90,Khanh Phan,2025-10-16,13:35:32,-07:00,2025-10-16T13:35:32-07:00,2,39
style.css,5,css,946a1d9d,Khanh Phan,2025-10-07,10:04:26,-07:00,2025-10-07T10:04:26-07:00,0,0
style.css,6,css,946a1d9d,Khanh Phan,2025-10-07,10:04:26,-07:00,2025-10-07T10:04:26-07:00,0,0
style.css,7,css,946a1d9d,Khanh Phan,2025-10-07,10:04:26,-07:00,2025-10-07T10:04:26-07:00,0,0
style.css,8,css,946a1d9d,Khanh Phan,2025-10-07,10:04:26,-07:00,2025-10-07T10:04:26-07:00,0,4
style.css,9,css,946a1d9d,Khanh Phan,2025-10-07,10:04:26,-07:00,2025-10-07T10:04:26-07:00,2,67
style.css,10,css,946a1d9d,Khanh Phan,2025-10-07,10:04:26,-07:00,2025-10-07T10:04:26-07:00,0,0
style.css,11,css,946a1d9d,Khanh Phan,2025-10-07,10:04:26,-07:00,2025-10-07T10:04:26-07:00,0,0
style.css,12,css,aab8b0a1,Khanh Phan,2025-10-01,21:21:47,-07:00,2025-10-01T21:21:47-07:00,0,4
style.css,13,css,aab8b0a1,Khanh Phan,2025-10-01,21:21:47,-07:00,2025-10-01T21:21:47-07:00,2,43
style.css,14,css,aab8b0a1,Khanh Phan,2025-10-01,21:21:47,-07:00,2025-10-01T21:21:47-07:00,2,45
style.css,15,css,aab8b0a1,Khanh Phan,2025-10-01,21:21:47,-07:00,2025-10-01T21:21:47-07:00,2,0
style.css,16,css,aab8b0a1,Khanh Phan,2025-10-01,21:21:47,-07:00,2025-10-01T21:21:47-07:00,2,23
style.css,17,css,946a1d9d,Khanh Phan,2025-10-07,10:04:26,-07:00,2025-10-07T10:04:26-07:00,2,43
style.css,18,css,946a1d9d,Khanh Phan,2025-10-07,10:04:26,-07:00,2025-10-07T10:04:26-07:00,2,76
style.css,19,css,946a1d9d,Khanh Phan,2025-10-07,10:04:26,-07:00,2025-10-07T10:04:26-07:00,0,0
style.css,20,css,946a1d9d,Khanh Phan,2025-10-07,10:04:26,-07:00,2025-10-07T10:04:26-07:00,0,0
style.css,21,css,946a1d9d,Khanh Phan,2025-10-07,10:04:26,-07:00,2025-10-07T10:04:26-07:00,0,2
style.css,22,css,946a1d9d,Khanh Phan,2025-10-07,10:04:26,-07:00,2025-10-07T10:04:26-07:00,2,14
style.css,23,css,946a1d9d,Khanh Phan,2025-10-07,10:04:26,-07:00,2025-10-07T10:04:26-07:00,0,0
style.css,24,css,946a1d9d,Khanh Phan,2025-10-07,10:04:26,-07:00,2025-10-07T10:04:26-07:00,0,0
style.css,25,css,946a1d9d,Khanh Phan,2025-10-07,10:04:26,-07:00,2025-10-07T10:04:26-07:00,0,2
style.css,26,css,946a1d9d,Khanh Phan,2025-10-07,10:04:26,-07:00,2025-10-07T10:04:26-07:00,2,8
style.css,27,css,946a1d9d,Khanh Phan,2025-10-07,10:04:26,-07:00,2025-10-07T10:04:26-07:00,0,0
style.css,28,css,946a1d9d,Khanh Phan,2025-10-07,10:04:26,-07:00,2025-10-07T10:04:26-07:00,0,0
style.css,29,css,946a1d9d,Khanh Phan,2025-10-07,10:04:26,-07:00,2025-10-07T10:04:26-07:00,0,22
style.css,30,css,946a1d9d,Khanh Phan,2025-10-07,10:04:26,-07:00,2025-10-07T10:04:26-07:00,2,15
style.css,31,css,946a1d9d,Khanh Phan,2025-10-07,10:04:26,-07:00,2025-10-07T10:04:26-07:00,2,17
style.css,32,css,946a1d9d,Khanh Phan,2025-10-07,10:04:26,-07:00,2025-10-07T10:04:26-07:00,0,0
